ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3,Training_Sample,Gang_Affiliated_Missing,Avg_Days_per_DrugTest_Missing,DrugTests_THC_Positive_Missing,DrugTests_Cocaine_Positive_Missing,DrugTests_Meth_Positive_Missing,DrugTests_Other_Positive_Missing,Prison_Offense_Missing
3373,M,WHITE,33-37,6,False,7.0,High,High School Diploma,1,Property,More than 3 years,10 or more,6 or more,0,5 or more,5 or more,5 or more,False,False,3 or more,4 or more,False,3 or more,1,True,False,False,False,False,True,False,False,False,False,False,False,3,4,0,1,69.8,0.400000006,0.0,0.200000003,0.0,1.0,2.0,False,True,False,True,False,1,0,0,0,0,0,0,0
3374,M,WHITE,33-37,15,False,10.0,Specialized,High School Diploma,0,Violent/Non-Sex,More than 3 years,7,6 or more,3 or more,1,5 or more,2,False,True,3 or more,4 or more,True,0,2 or more,True,False,True,False,False,True,True,True,True,False,False,False,0,5,0,0,13.14285714,0.0,0.0,0.0,0.0,0.902173913,1.0,False,True,True,False,False,0,0,0,0,0,0,0,0
3375,M,WHITE,38-42,24,False,8.0,Specialized,High School Diploma,2,Other,More than 3 years,10 or more,3,1,4,0,5 or more,False,False,3 or more,2,True,2,0,False,False,False,False,True,False,False,True,False,False,False,False,4 or more,0,0,3 or more,111.0,0.0,0.0,0.0,0.0,0.973873874,0.329054054,False,False,False,False,False,1,0,0,0,0,0,0,0
3376,M,BLACK,33-37,14,False,4.0,Standard,High School Diploma,1,Drug,More than 3 years,7,6 or more,0,0,4,5 or more,False,False,2,4 or more,False,0,2 or more,True,False,False,False,False,False,False,False,False,True,False,False,0,0,0,2,,,0.000368516,0.011613836,0.002970596,0.218799368,0.288507109,False,True,True,False,False,1,0,1,1,1,1,1,0
3377,M,BLACK,48 or older,15,False,8.0,High,At least some college,3 or more,Other,1-2 years,10 or more,6 or more,0,5 or more,5 or more,2,False,False,3 or more,4 or more,False,1,2 or more,True,False,False,False,True,True,True,False,False,False,False,False,0,0,0,1,69.875,0.0,0.0,0.0,0.0,0.997316637,0.326699463,False,False,False,False,False,0,0,0,0,0,0,0,0
3378,M,BLACK,33-37,22,False,9.0,Standard,High School Diploma,1,Property,Greater than 2 to 3 years,10 or more,6 or more,3 or more,5 or more,4,5 or more,True,False,1,4 or more,True,3 or more,2 or more,True,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,137.8,0.200000003,0.200000003,0.0,0.400000006,0.068214804,0.53011611,False,True,False,True,False,1,0,0,0,0,0,0,0
3379,M,BLACK,28-32,5,False,10.0,Specialized,At least some college,3 or more,Other,More than 3 years,6,1,1,3,1,1,False,True,2,1,False,1,1,False,False,True,False,False,False,False,False,False,False,False,False,0,6,1,3 or more,185.9,0.100000001,0.0,0.0,0.0,0.147928994,0.1964766,True,True,True,False,False,1,0,0,0,0,0,0,0
3380,M,BLACK,33-37,25,False,9.0,Standard,High School Diploma,2,Property,More than 3 years,5,2,1,2,0,3,False,True,2,3,False,3 or more,0,True,False,True,False,False,True,False,False,False,False,False,False,0,0,0,0,51.33333333,0.06666667,0.0,0.0,0.0,0.531168831,0.948701299,False,True,False,True,False,1,0,0,0,0,0,0,0
3381,M,BLACK,38-42,19,False,3.0,Specialized,At least some college,3 or more,Violent/Sex,More than 3 years,5,0,2,2,0,0,False,False,0,0,False,0,0,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,1,19.91304348,0.0,0.0,0.0,0.0,0.805676856,0.398744541,False,False,False,False,False,1,0,0,0,0,0,0,0
3382,M,BLACK,28-32,14,True,4.0,,High School Diploma,2,Violent/Non-Sex,Less than 1 year,6,6 or more,3 or more,2,1,5 or more,True,True,1,4 or more,True,1,1,True,True,True,False,False,True,False,True,False,False,True,False,4 or more,0,0,0,,,0.000274478,0.106550459,0.017242516,0.0,0.0,False,False,False,False,False,0,0,1,1,1,1,1,0
3383,M,BLACK,28-32,2,False,4.0,Specialized,High School Diploma,0,Other,Less than 1 year,5,3,2,0,2,0,False,True,2,0,True,0,0,False,False,True,False,False,True,True,True,True,True,False,False,4 or more,6,0,0,36.0,0.0,0.0,0.0,0.0,0.064814815,1.0,False,True,True,False,False,1,0,0,0,0,0,0,0
3384,M,BLACK,33-37,4,False,5.0,Standard,Less than HS diploma,1,Drug,1-2 years,10 or more,3,1,3,2,5 or more,True,True,1,3,True,1,1,True,False,True,False,True,False,True,False,False,True,True,True,4 or more,6,1,0,35.25,0.0,0.025,0.0,0.0,0.936170213,0.259042553,False,False,False,False,False,0,0,0,0,0,0,0,0
3385,M,WHITE,38-42,17,False,8.0,High,High School Diploma,2,Property,1-2 years,10 or more,5,0,5 or more,4,5 or more,False,False,1,2,False,1,1,True,False,False,True,False,True,False,False,False,False,False,False,4 or more,2,3 or more,3 or more,,0.0,0.0,1.0,0.0,0.998193315,0.329945799,False,False,False,False,False,1,0,1,0,0,0,0,0
3386,M,BLACK,33-37,20,False,7.0,High,High School Diploma,2,Drug,More than 3 years,7,6 or more,0,1,5 or more,1,False,True,2,4 or more,False,0,2 or more,True,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,67.681785515,,0.000296788,0.004123181,0.000597116,0.0,0.0,False,False,False,False,False,1,0,1,1,1,1,1,0
3387,M,BLACK,33-37,19,False,3.0,,High School Diploma,0,Violent/Non-Sex,Less than 1 year,5,1,1,1,3,3,False,False,2,3,True,0,1,False,False,False,False,True,True,False,False,False,False,False,False,2,6,0,1,61.33333333,0.0,0.0,0.0,0.0,0.934782609,0.992527174,False,False,False,False,False,1,0,0,0,0,0,0,0
3388,M,BLACK,33-37,18,False,7.0,High,Less than HS diploma,1,Drug,More than 3 years,9,6 or more,1,1,5 or more,5 or more,False,False,3 or more,4 or more,True,1,2 or more,True,False,False,False,False,True,True,False,False,True,True,True,4 or more,5,0,2,152.0909091,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0,0,0,0,0,0,0,0
3389,M,BLACK,33-37,3,False,10.0,Standard,Less than HS diploma,3 or more,Drug,More than 3 years,7,5,1,1,5 or more,5 or more,False,False,3 or more,2,False,1,2 or more,True,False,False,True,False,True,False,False,False,False,True,False,0,9,3 or more,0,87.0,0.200000003,0.0,0.0,0.0,0.234482759,0.839655172,False,True,True,False,False,1,0,0,0,0,0,0,0
3390,M,WHITE,28-32,11,False,10.0,Specialized,At least some college,3 or more,Other,Greater than 2 to 3 years,10 or more,2,1,5 or more,1,3,False,True,2,3,True,3 or more,1,True,False,True,False,False,False,False,True,False,False,False,False,0,0,0,3 or more,90.25,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0,0,0,0,0,1
3391,M,BLACK,28-32,14,False,9.0,Specialized,High School Diploma,0,Property,Greater than 2 to 3 years,10 or more,4,0,5 or more,0,3,False,False,2,1,False,3 or more,0,True,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,55.6875,0.0,0.0,0.0,0.0,1.0,0.81986532,False,True,False,True,False,1,0,0,0,0,0,0,0
3392,M,BLACK,33-37,23,False,8.0,High,Less than HS diploma,0,Property,More than 3 years,6,1,0,5 or more,0,0,False,False,0,0,False,1,0,False,False,False,False,False,False,True,True,False,True,False,True,4 or more,0,0,2,44.32258065,0.032258064,0.161290318,0.0,0.064516127,0.995633188,0.797489083,False,False,False,False,False,1,0,0,0,0,0,0,0
3393,M,BLACK,33-37,12,False,7.0,High,High School Diploma,0,Property,1-2 years,4,6 or more,1,2,0,2,False,False,2,1,True,2,0,False,False,False,False,False,True,True,True,False,False,False,False,0,0,0,0,87.66666667,0.0,0.0,0.0,0.0,1.0,3.0,False,True,True,False,False,1,0,0,0,0,0,0,0
3394,M,WHITE,33-37,23,False,9.0,Specialized,Less than HS diploma,0,Property,1-2 years,6,2,0,5 or more,0,0,False,False,0,1,False,1,0,False,False,False,False,False,False,False,True,False,False,False,True,0,0,0,3 or more,,0.047619049,0.0,0.0,0.0,,,False,False,False,False,False,1,0,1,0,0,0,0,0
3395,M,WHITE,43-47,22,False,3.0,Standard,At least some college,3 or more,Drug,1-2 years,6,2,0,2,4,0,False,False,2,0,False,0,2 or more,False,False,False,False,False,True,False,False,False,False,False,False,0,6,0,1,30.7,0.0,0.0,0.0,0.0,0.872964169,0.594869707,False,False,False,False,False,1,0,0,0,0,0,0,0
3396,F,BLACK,33-37,19,False,6.0,High,At least some college,3 or more,Violent/Non-Sex,More than 3 years,1,0,1,0,0,0,False,False,0,0,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,57.5,0.0,0.0,0.0,0.0,0.92173913,0.453726708,False,False,False,False,False,0,1,0,0,0,0,0,0
3397,M,BLACK,33-37,21,False,6.0,High,Less than HS diploma,2,Violent/Non-Sex,More than 3 years,10 or more,5,3 or more,3,0,1,False,True,2,0,True,1,0,False,False,True,False,False,True,True,False,False,False,False,False,1,4,1,2,17.75,0.0,0.0,0.0,0.0,0.436619718,2.0,False,True,True,False,False,0,0,0,0,0,0,0,0
3398,M,BLACK,28-32,5,True,1.0,Specialized,High School Diploma,2,Property,Greater than 2 to 3 years,6,1,0,4,2,1,False,False,2,1,False,2,2 or more,False,False,False,True,False,False,False,False,False,True,True,False,3,4,0,3 or more,34.47058824,0.470588237,0.0,0.0,0.0,0.0,0.0,True,True,False,True,False,1,0,0,0,0,0,0,0
3399,M,BLACK,33-37,24,True,5.0,Standard,Less than HS diploma,1,Drug,More than 3 years,5,6 or more,0,0,5 or more,1,False,False,2,4 or more,False,0,2 or more,False,False,False,False,False,True,False,True,False,False,False,False,0,0,0,1,257.0,0.200000003,0.200000003,0.0,0.0,0.505836576,0.56848249,False,False,False,False,False,1,0,0,0,0,0,0,0
3400,M,WHITE,48 or older,16,False,5.0,Standard,High School Diploma,0,Violent/Non-Sex,1-2 years,10 or more,6 or more,2,5 or more,1,5 or more,False,True,3 or more,1,True,3 or more,0,True,False,False,False,False,True,True,True,False,True,True,True,4 or more,0,2,3 or more,95.58333333,0.166666672,0.083333336,0.166666672,0.25,0.0,0.0,False,True,False,False,True,0,0,0,0,0,0,0,0
3401,M,WHITE,48 or older,17,False,6.0,High,At least some college,3 or more,Violent/Non-Sex,More than 3 years,2,2,1,1,0,0,False,False,2,0,True,1,0,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,1,22.03571429,0.053571429,0.0,0.0,0.0,1.0,0.887965964,True,False,False,False,False,1,0,0,0,0,0,0,0
3402,M,WHITE,48 or older,12,False,2.0,Standard,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,4,1,1,1,1,2,False,False,1,1,True,0,0,False,False,False,True,False,True,False,True,False,False,False,False,0,0,0,2,30.9,0.0,0.0,0.0,0.0,0.382955771,1.182038835,False,True,False,True,False,0,0,0,0,0,0,0,0
3403,M,BLACK,48 or older,2,False,7.0,High,At least some college,3 or more,Violent/Non-Sex,More than 3 years,4,1,1,3,0,0,False,False,0,0,True,0,0,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,2,162.25,0.0,0.0,0.0,0.0,0.821777093,0.187596302,True,False,False,False,False,1,0,0,0,0,0,0,0
3404,M,BLACK,48 or older,14,False,6.0,High,Less than HS diploma,0,Drug,Less than 1 year,10 or more,1,0,4,5 or more,5 or more,False,False,3 or more,1,False,3 or more,2 or more,True,False,False,False,False,True,True,False,False,False,False,False,0,7,0,0,193.5,0.0,0.0,0.0,0.0,0.387596899,1.887596899,False,True,True,False,False,1,0,0,0,0,0,0,0
3405,M,BLACK,43-47,9,False,6.0,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,4,2,1,1,1,0,False,True,0,0,False,0,0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,,False,False,False,False,False,0,0,1,0,0,0,0,0
3406,M,BLACK,43-47,7,True,7.0,High,Less than HS diploma,3 or more,Property,1-2 years,10 or more,6 or more,1,5 or more,1,3,True,False,3 or more,4 or more,True,3 or more,0,True,True,False,False,False,True,True,False,False,True,True,True,0,2,0,3 or more,77.505837839,0.007867727,0.001038817,,,0.700636943,1.0,False,True,True,False,False,0,0,1,1,1,1,1,0
3408,M,BLACK,38-42,16,False,7.0,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,More than 3 years,2,0,1,0,0,0,False,False,2,0,True,0,0,False,False,False,False,False,False,False,False,False,False,False,False,0,9,0,0,149.5,0.0,0.0,0.0,0.0,0.996655518,1.0,False,True,False,True,False,1,0,0,0,0,0,0,0
3409,M,BLACK,43-47,4,False,4.0,Standard,At least some college,1,Property,Less than 1 year,10 or more,6 or more,3 or more,5 or more,0,4,False,True,3 or more,3,False,3 or more,0,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,112.535553638,0.00946426,1.5e-07,8.26e-07,0.002272069,1.0,0.941365979,False,True,False,False,True,1,0,1,1,1,1,1,0
3410,M,BLACK,48 or older,23,False,2.0,,At least some college,1,Property,1-2 years,3,6 or more,2,4,0,0,True,False,2,3,True,3 or more,0,False,True,False,False,False,True,True,False,False,False,False,False,0,4,1,0,,0.102561114,2e-09,3.3e-08,0.002859591,0.802631579,2.0,False,True,True,False,False,1,0,1,1,1,1,1,0
3412,M,BLACK,38-42,20,False,3.0,Standard,High School Diploma,0,Property,Less than 1 year,10 or more,4,2,5 or more,1,5 or more,False,False,3 or more,2,True,3 or more,1,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,1,186.470640988,0.352761508,0.000244,2.385e-06,9.2832e-05,0.774647887,1.0,False,True,False,True,False,1,0,1,1,1,1,1,0
3413,M,BLACK,38-42,19,False,9.0,Specialized,High School Diploma,3 or more,Drug,Greater than 2 to 3 years,6,1,0,1,5 or more,0,False,True,1,1,False,0,1,False,False,False,False,False,True,True,False,False,False,False,False,0,10 or more,1,1,122.9375,0.125,0.0,0.0,0.0,0.813421454,0.371377733,False,False,False,False,False,1,0,0,0,0,0,0,0
3414,M,BLACK,43-47,11,False,7.0,High,Less than HS diploma,0,Property,1-2 years,10 or more,5,1,5 or more,5 or more,5 or more,False,False,3 or more,4 or more,False,3 or more,1,False,False,False,False,False,False,False,False,False,False,False,False,4 or more,10 or more,3 or more,0,61.14285714,0.142857149,0.0,0.0,0.0,1.0,0.85338785,False,False,False,False,False,1,0,0,0,0,0,0,0
3415,M,WHITE,43-47,22,False,5.0,,High School Diploma,1,Drug,1-2 years,9,5,0,1,3,5 or more,False,True,0,1,False,0,1,True,False,False,False,False,True,False,False,False,False,False,False,4 or more,1,3 or more,0,62.45454545,0.090909094,0.0,0.090909094,0.0,0.234352256,0.531659389,False,True,False,True,False,1,0,0,0,0,0,0,0
3416,M,BLACK,28-32,21,False,7.0,Standard,Less than HS diploma,0,Other,More than 3 years,10 or more,3,2,0,5 or more,3,False,False,3 or more,2,False,0,2 or more,True,False,False,False,False,True,True,False,False,False,False,False,0,6,0,3 or more,44.4,0.079999998,0.0,0.0,0.0,0.356756757,0.329054054,False,False,False,False,False,1,0,0,0,0,0,0,0
3417,M,BLACK,43-47,21,False,3.0,Standard,High School Diploma,3 or more,Drug,More than 3 years,2,0,0,0,2,0,False,False,1,1,False,0,1,False,False,False,False,False,True,False,False,False,False,False,False,0,4,1,1,83.53846154,0.0,0.0,0.0,0.0,0.73664825,0.672651934,False,False,False,False,False,1,0,0,0,0,0,0,0
3418,M,BLACK,33-37,4,True,8.0,Specialized,Less than HS diploma,1,Property,1-2 years,10 or more,4,1,5 or more,0,5 or more,False,True,2,1,False,2,0,True,False,False,True,False,True,True,False,False,True,False,True,0,3,3 or more,2,99.42857143,0.142857149,0.0,0.0,0.0,0.359195402,0.524784483,False,True,False,True,False,1,0,0,0,0,0,0,0
3419,M,BLACK,33-37,14,False,4.0,Standard,High School Diploma,1,Drug,1-2 years,10 or more,6 or more,3 or more,1,5 or more,5 or more,True,False,1,4 or more,True,1,2 or more,True,True,False,True,True,False,False,False,False,False,False,False,0,0,0,3 or more,654.6666667,0.0,0.0,0.0,0.0,0.034623218,0.185972505,False,True,True,False,False,1,0,0,0,0,0,0,0
3420,M,BLACK,33-37,18,False,5.0,Specialized,High School Diploma,3 or more,Property,More than 3 years,6,6 or more,1,3,0,4,False,False,3 or more,1,False,1,0,False,False,False,False,False,True,True,True,False,True,False,False,0,2,2,0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,1,0,0,0,0,0,0,0
3421,M,BLACK,33-37,8,True,6.0,High,High School Diploma,3 or more,Violent/Non-Sex,1-2 years,10 or more,5,1,5 or more,2,5 or more,False,True,3 or more,3,True,3 or more,0,True,False,True,False,True,True,True,False,False,True,False,True,4 or more,1,3 or more,0,44.945260447,,0.004126983,0.001707748,0.065746255,0.0,0.0,False,True,False,False,True,1,0,1,1,1,1,1,0
3422,M,BLACK,33-37,11,False,5.0,Standard,High School Diploma,2,Other,Less than 1 year,10 or more,4,2,3,5 or more,1,False,True,3 or more,2,False,1,2 or more,True,False,True,False,False,True,False,False,False,True,False,True,0,6,0,0,96.5,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,1,0,0,0,0,0,0,0
3423,M,BLACK,28-32,4,False,7.0,Specialized,High School Diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,8,2,2,1,1,5 or more,True,False,3 or more,1,True,1,1,True,False,False,False,False,False,True,True,False,False,False,False,0,0,0,1,22.375,0.0,0.0,0.0,0.0,1.0,2.0,False,True,True,False,False,1,0,0,0,0,0,0,0
3424,F,WHITE,38-42,17,False,7.0,Standard,High School Diploma,3 or more,Property,1-2 years,7,6 or more,2,5 or more,2,5 or more,False,False,1,4 or more,False,2,1,True,True,False,False,False,True,True,False,False,False,False,False,4 or more,0,0,2,,0.299208454,,1.33e-07,0.004026357,0.0,0.0,False,True,False,False,True,0,1,1,1,1,1,1,0
3425,M,BLACK,48 or older,7,False,5.0,High,Less than HS diploma,3 or more,Drug,1-2 years,10 or more,1,0,5 or more,4,3,False,False,3 or more,1,False,2,2 or more,False,False,False,True,False,False,False,False,False,False,False,False,0,6,3 or more,0,,0.146258981,,,0.000297932,1.0,2.767045455,False,True,True,False,False,1,0,1,1,1,1,1,0
3426,M,BLACK,28-32,14,False,1.0,Specialized,Less than HS diploma,3 or more,Property,1-2 years,10 or more,6 or more,3 or more,4,5 or more,5 or more,True,False,3 or more,4 or more,True,3 or more,2 or more,True,True,False,True,False,False,True,False,False,True,False,True,0,10 or more,3 or more,3 or more,68.0,0.25,0.0,0.0,0.0625,0.272058824,0.335707721,False,True,True,False,False,1,0,0,0,0,0,0,0
3427,M,BLACK,33-37,5,True,8.0,High,Less than HS diploma,3 or more,Other,1-2 years,10 or more,6 or more,3 or more,5 or more,5 or more,5 or more,False,True,3 or more,4 or more,True,3 or more,2 or more,True,False,True,False,False,True,True,False,False,True,False,False,4 or more,0,0,1,138.3,0.200000003,0.100000001,0.0,0.0,0.487346349,0.264099783,False,False,False,False,False,0,0,0,0,0,0,0,0
3428,F,BLACK,38-42,14,False,5.0,Standard,Less than HS diploma,3 or more,Property,1-2 years,5,2,1,3,1,2,True,False,1,1,True,3 or more,0,False,False,False,False,True,True,True,False,False,False,False,False,0,0,0,0,48.0,0.0,0.0,0.0,0.0,0.797916667,1.521875,False,True,False,True,False,1,1,0,0,0,0,0,0
3429,M,BLACK,38-42,6,False,5.0,Standard,High School Diploma,3 or more,Other,More than 3 years,6,0,2,0,3,2,False,True,0,0,False,0,1,False,False,True,False,False,True,True,False,False,False,False,False,0,0,0,1,71.6,0.0,0.0,0.0,0.0,1.0,2.0,False,False,False,False,False,0,0,0,0,0,0,0,0
3430,M,BLACK,33-37,6,False,9.0,Standard,High School Diploma,2,Property,Less than 1 year,10 or more,5,1,5 or more,2,5 or more,True,True,3 or more,1,False,3 or more,0,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,2,47.4,0.200000003,0.0,0.0,0.0,1.0,4.0,False,True,True,False,False,1,0,0,0,0,0,0,0
3431,M,BLACK,28-32,4,False,6.0,,High School Diploma,0,Violent/Non-Sex,Greater than 2 to 3 years,9,3,1,4,0,5 or more,False,False,3 or more,1,False,3 or more,0,True,False,False,False,False,True,True,True,False,False,False,True,4 or more,0,0,0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,1,0,0,0,0,0,0,0
3432,M,BLACK,33-37,4,True,5.0,Standard,Less than HS diploma,3 or more,Violent/Non-Sex,More than 3 years,1,6 or more,1,2,0,0,False,False,0,4 or more,True,1,0,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,185.394950728,0.078020416,0.001592778,2.11e-07,,0.0,0.0,False,False,False,False,False,1,0,1,1,1,1,1,0
3433,M,WHITE,43-47,15,False,4.0,Standard,High School Diploma,0,Property,1-2 years,10 or more,5,1,5 or more,0,4,False,False,3 or more,4 or more,True,3 or more,0,True,False,False,False,False,True,False,False,False,True,False,False,0,0,0,2,75.75,0.0,0.0,0.0,0.0,0.551155116,1.205445545,False,True,False,True,False,0,0,0,0,0,0,0,0
3434,M,WHITE,48 or older,17,False,3.0,Specialized,At least some college,1,Other,More than 3 years,7,4,1,2,0,0,False,False,2,1,False,0,0,False,False,False,False,False,True,False,True,True,False,False,False,4 or more,4,3 or more,0,84.903407041,0.0,0.0,0.0,0.0,,,True,False,False,False,False,0,0,1,0,0,0,0,0
3435,M,BLACK,48 or older,17,False,4.0,Standard,High School Diploma,0,Drug,1-2 years,7,4,0,1,5 or more,5 or more,False,False,3 or more,1,False,1,2 or more,False,False,False,False,True,False,True,False,False,False,False,False,0,0,0,0,39.815098171,0.094612045,,,0.005421151,0.34,0.913125,False,False,False,False,False,1,0,1,1,1,1,1,0
3436,M,BLACK,33-37,12,False,,Specialized,High School Diploma,2,Drug,1-2 years,10 or more,3,1,1,5 or more,5 or more,True,False,0,1,False,0,1,False,False,False,True,False,False,False,False,False,True,False,True,4 or more,0,0,1,185.3333333,0.333333343,0.0,0.0,0.0,0.037769784,0.65692446,False,True,True,False,False,1,0,0,0,0,0,0,0
3437,M,BLACK,48 or older,19,False,3.0,Standard,Less than HS diploma,3 or more,Drug,1-2 years,8,6 or more,1,0,5 or more,5 or more,False,False,2,4 or more,False,0,1,True,False,False,True,False,True,False,False,False,False,True,True,0,0,0,0,113.4666667,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,1,0,0,0,0,0,0,0
3438,M,WHITE,28-32,3,True,7.0,Standard,High School Diploma,3 or more,Drug,1-2 years,4,6 or more,0,0,5 or more,5 or more,False,False,0,4 or more,False,0,2 or more,True,False,False,True,False,True,True,False,False,False,False,False,0,5,0,2,54.682153049,0.075801737,1e-08,0.001108339,0.000478626,1.0,1.0,False,True,False,False,True,1,0,1,1,1,1,1,1
3439,M,BLACK,28-32,5,True,6.0,High,Less than HS diploma,1,Drug,More than 3 years,10 or more,3,3 or more,2,4,5 or more,False,True,3 or more,1,True,2,2 or more,True,False,True,False,False,True,True,False,False,True,False,True,0,0,0,0,80.5,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,1,0,0,0,0,0,0,0
3440,M,BLACK,28-32,15,False,8.0,High,Less than HS diploma,2,Drug,1-2 years,6,3,1,0,5 or more,1,False,False,3 or more,3,False,0,2 or more,True,False,False,False,False,True,True,False,False,False,False,False,0,0,0,2,47.57142857,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,1,0,0,0,0,0,0,0
3441,M,BLACK,33-37,6,False,9.0,Specialized,At least some college,3 or more,Other,More than 3 years,6,5,0,4,2,2,False,True,1,1,False,1,1,True,False,True,False,False,True,False,False,False,True,False,False,0,7,0,1,,0.020833334,0.0,0.0,0.0,,,False,False,False,False,False,0,0,1,0,0,0,0,0
3442,M,BLACK,28-32,6,False,1.0,Standard,High School Diploma,0,Property,1-2 years,10 or more,4,0,5 or more,3,4,False,False,2,3,False,3 or more,1,True,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,40.221216954,0.213193408,0.024369218,0.012967788,0.001077902,0.0,0.0,False,True,True,False,False,1,0,1,1,1,1,1,0
3443,M,WHITE,33-37,24,False,8.0,High,High School Diploma,0,Drug,Less than 1 year,10 or more,6 or more,2,5 or more,3,5 or more,False,False,3 or more,4 or more,False,3 or more,2 or more,True,False,False,False,False,True,False,False,False,False,False,False,4 or more,4,0,2,41.55555556,0.0,0.0,0.111111112,0.111111112,0.895721925,0.976604278,True,True,False,False,True,1,0,0,0,0,0,0,0
3444,M,BLACK,28-32,6,False,8.0,Specialized,Less than HS diploma,3 or more,Property,Greater than 2 to 3 years,9,6 or more,2,5 or more,4,3,False,False,3 or more,4 or more,True,3 or more,2 or more,True,False,False,False,False,False,True,True,False,False,False,False,4 or more,0,0,2,65.6,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,1,0,0,0,0,0,0,0
3445,M,WHITE,43-47,17,False,4.0,Standard,Less than HS diploma,3 or more,Drug,Less than 1 year,10 or more,5,3 or more,5 or more,4,1,True,False,1,2,True,3 or more,1,False,False,False,False,False,True,False,False,False,False,False,False,0,6,0,1,15.95833333,0.0,0.0,0.0,0.0,0.971279373,0.953655352,False,False,False,False,False,1,0,0,0,0,0,0,0
3446,M,BLACK,33-37,14,True,6.0,High,Less than HS diploma,0,Violent/Sex,More than 3 years,7,6 or more,0,1,5 or more,5 or more,False,False,3 or more,4 or more,False,2,2 or more,True,False,False,False,False,True,False,False,False,False,False,False,0,10 or more,0,0,6.826086957,0.173913047,0.0,0.0,0.0,0.210191083,1.0,False,True,True,False,False,1,0,0,0,0,0,0,1
3447,F,WHITE,43-47,21,False,5.0,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,More than 3 years,10 or more,6 or more,2,5 or more,1,5 or more,False,False,2,4 or more,True,2,1,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,1,73.1,0.0,0.0,0.0,0.0,0.928864569,0.499658003,False,False,False,False,False,1,1,0,0,0,0,0,0
3448,M,BLACK,28-32,16,True,8.0,High,High School Diploma,3 or more,Other,More than 3 years,8,6 or more,0,3,5 or more,3,False,True,2,4 or more,False,2,2 or more,False,False,True,False,False,True,False,True,False,False,False,False,2,8,0,2,102.8181818,0.0,0.0,0.0,0.0,0.848806366,0.645888594,False,True,False,False,True,1,0,0,0,0,0,0,0
