Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3,Avg_Days_per_DrugTest_Missing,DrugTests_THC_Positive_Missing,Prison_Offense_Missing
M,BLACK,28-32,18,False,8.0,High,High School Diploma,0,Violent/Non-Sex,Less than 1 year,10 or more,6 or more,1,2,2,5 or more,False,True,1,3,False,1,0,False,False,False,False,False,True,True,False,False,False,False,False,0,5,1,1,26.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,1
M,BLACK,28-32,7,False,8.0,High,High School Diploma,2,Violent/Non-Sex,More than 3 years,7,0,1,1,3,3,False,True,1,1,False,0,1,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,3 or more,8.0,0.0,0.0,0.0,0.0,1.0,1.0,False,True,True,False,False,0,0,0
M,WHITE,48 or older,17,False,8.0,Specialized,High School Diploma,2,Property,1-2 years,10 or more,6 or more,1,5 or more,1,1,False,False,2,2,True,3 or more,0,False,False,False,True,False,False,False,False,False,False,False,False,0,10 or more,2,3 or more,10.45,0.0,0.0,0.050000001,0.100000001,0.559808612,1.0,False,True,True,False,False,0,0,0
F,BLACK,43-47,19,True,4.0,Standard,High School Diploma,3 or more,Drug,1-2 years,10 or more,3,0,2,1,5 or more,False,False,3 or more,3,False,1,1,True,False,False,False,False,False,False,False,False,True,False,True,4 or more,7,3 or more,0,116.8181818,0.0,0.454545468,0.0,0.181818187,0.308949416,0.284241245,False,False,False,False,False,0,0,0
M,WHITE,28-32,5,False,6.0,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,7,4,3 or more,2,2,2,False,False,3 or more,3,True,2,2 or more,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0,1,65.5,0.0,0.0,0.0,0.0,0.603053435,1.394083969,False,True,True,False,False,0,0,0
M,BLACK,43-47,19,False,1.0,Specialized,At least some college,3 or more,Violent/Sex,More than 3 years,2,1,1,1,0,0,False,False,0,0,False,0,0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,133.047532782,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,1,0,0
M,BLACK,33-37,8,False,6.0,Specialized,Less than HS diploma,0,Property,1-2 years,4,4,0,5 or more,0,2,False,False,2,4 or more,False,3 or more,0,True,False,False,False,False,True,True,True,False,False,False,False,0,2,0,1,85.559138487,0.062951702,1.54e-07,0.007862343,0.001409285,1.0,1.0,True,True,False,True,False,1,1,0
F,WHITE,33-37,13,False,8.0,High,Less than HS diploma,0,Drug,1-2 years,5,5,0,2,3,4,False,False,1,2,False,1,1,False,False,False,False,False,True,True,True,False,False,False,False,0,6,0,1,14.44444444,0.0,0.0,0.0,0.0,1.0,2.0,False,False,False,False,False,0,0,0
M,BLACK,38-42,4,False,6.0,High,High School Diploma,2,Violent/Non-Sex,More than 3 years,3,1,2,1,0,1,False,True,2,0,False,0,0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,57.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0,0,0
M,BLACK,33-37,7,False,4.0,Standard,Less than HS diploma,1,Property,Less than 1 year,6,6 or more,1,2,5 or more,5 or more,True,False,2,4 or more,False,1,2 or more,True,False,False,False,False,True,True,False,False,False,False,False,0,0,0,1,173.495154217,0.660688564,0.003807214,2.658e-06,0.026108754,0.0,0.0,False,True,True,False,False,1,1,1
M,BLACK,33-37,22,False,4.0,Standard,Less than HS diploma,1,Violent/Sex,Less than 1 year,7,1,0,0,5 or more,3,False,False,2,3,False,0,2 or more,True,False,False,False,True,True,True,False,False,False,False,False,0,6,0,0,18.65,0.0,0.0,0.0,0.0,1.0,1.95844504,False,False,False,False,False,0,0,1
M,BLACK,33-37,5,True,7.0,Specialized,High School Diploma,2,Violent/Sex,More than 3 years,5,6 or more,3 or more,2,1,5 or more,False,False,2,3,True,2,0,True,False,False,False,False,False,False,False,True,True,False,True,4 or more,6,1,3 or more,47.3,0.200000003,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,0,0,0
M,BLACK,33-37,3,False,7.0,High,Less than HS diploma,3 or more,Drug,Greater than 2 to 3 years,10 or more,6 or more,3 or more,3,5 or more,5 or more,False,True,1,3,False,0,2 or more,True,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,20.85714286,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,BLACK,28-32,8,False,7.0,High,High School Diploma,3 or more,Property,1-2 years,6,6 or more,0,5 or more,1,5 or more,False,True,3 or more,3,False,3 or more,1,False,False,True,False,False,True,False,False,False,False,False,False,0,0,3 or more,0,50.88888889,0.111111112,0.111111112,0.0,0.0,0.941048035,0.797489083,True,True,False,True,False,0,0,0
F,WHITE,33-37,21,False,9.0,Specialized,High School Diploma,3 or more,Drug,Less than 1 year,10 or more,6 or more,1,5 or more,2,5 or more,False,False,3 or more,4 or more,False,3 or more,1,False,False,False,False,True,True,True,True,False,False,False,True,0,2,0,3 or more,107.6,0.0,0.0,0.200000003,0.200000003,0.0,0.0,False,True,True,False,False,0,0,0
M,WHITE,33-37,15,False,8.0,High,High School Diploma,1,Other,1-2 years,8,3,0,4,3,3,False,True,3 or more,4 or more,False,3 or more,2 or more,True,False,True,False,False,True,False,False,False,False,False,False,0,7,0,1,31.38888889,0.0,0.0,0.0,0.0,1.0,1.939380531,False,False,False,False,False,0,0,0
M,WHITE,38-42,14,False,10.0,Specialized,Less than HS diploma,1,Property,1-2 years,10 or more,6 or more,3 or more,4,4,2,True,False,1,3,True,3 or more,2 or more,False,False,False,False,False,True,True,True,False,True,True,True,4 or more,0,1,1,140.0,0.0,0.0,0.333333343,0.0,0.0,0.0,False,True,False,True,False,0,0,0
M,BLACK,28-32,12,False,9.0,Specialized,Less than HS diploma,0,Property,1-2 years,7,5,1,2,3,5 or more,False,False,2,4 or more,False,1,1,True,False,False,False,False,True,True,False,False,False,False,False,0,7,1,2,68.54545455,0.0,0.0,0.0,0.0,0.265251989,0.968832891,True,True,True,False,False,0,0,0
M,BLACK,28-32,8,False,9.0,Specialized,High School Diploma,0,Property,Greater than 2 to 3 years,4,4,0,4,1,1,False,True,1,1,False,3 or more,0,False,False,False,False,False,True,True,False,False,False,False,False,0,4,3 or more,0,107.5,0.0,0.0,0.0,0.0,0.895348837,0.424709302,False,False,False,False,False,0,0,0
M,BLACK,33-37,5,False,3.0,Specialized,High School Diploma,3 or more,Violent/Sex,More than 3 years,5,6 or more,3 or more,3,1,3,False,False,2,3,False,2,0,True,False,False,False,True,True,False,True,False,False,False,False,0,10 or more,3 or more,0,32.8,0.0,0.0,0.0,0.0,0.868466899,0.636324042,False,False,False,False,False,0,0,0
M,BLACK,43-47,2,False,2.0,Standard,Less than HS diploma,2,Property,Less than 1 year,10 or more,6 or more,3 or more,5 or more,3,1,False,False,3 or more,3,False,3 or more,2 or more,True,False,False,False,False,False,True,False,False,False,False,False,0,0,0,1,119.0,0.0,0.0,0.0,0.0,0.302521008,1.0,False,False,False,False,False,0,0,0
M,WHITE,48 or older,12,False,3.0,Standard,High School Diploma,3 or more,Violent/Non-Sex,More than 3 years,10 or more,4,3 or more,2,2,0,False,True,1,1,True,0,2 or more,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,84.4,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,0,0,0
M,WHITE,33-37,15,False,4.0,Specialized,High School Diploma,0,Violent/Non-Sex,More than 3 years,7,6 or more,1,5 or more,1,5 or more,True,True,2,4 or more,True,3 or more,1,True,False,True,False,False,False,False,False,True,False,False,False,4 or more,10 or more,0,3 or more,11.02040816,0.020408163,0.0,0.040816326,0.0,0.461111111,4.058333333,False,True,True,False,False,0,0,0
F,WHITE,48 or older,20,False,2.0,Standard,At least some college,0,Drug,Less than 1 year,4,3,0,3,2,1,False,False,0,2,False,2,2 or more,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,47.0,0.0,0.0,0.0,0.0,0.978723404,1.0,False,False,False,False,False,0,0,0
M,WHITE,48 or older,7,False,7.0,High,High School Diploma,2,Property,1-2 years,10 or more,6 or more,1,5 or more,3,5 or more,False,False,3 or more,4 or more,False,3 or more,1,True,False,False,False,False,True,True,True,False,False,False,False,0,0,0,1,109.6666667,0.0,0.0,0.0,0.0,0.291793313,1.0,False,True,False,True,False,0,0,0
M,WHITE,28-32,1,False,8.0,High,High School Diploma,0,Other,Less than 1 year,10 or more,5,2,2,4,5 or more,True,False,3 or more,0,False,2,1,True,True,False,False,False,True,True,True,False,False,False,False,0,0,0,0,34.72727273,0.0,0.0,0.0,0.0,0.968586387,0.956151832,False,True,False,True,False,0,0,0
F,BLACK,38-42,2,False,10.0,Specialized,At least some college,1,Property,1-2 years,7,5,1,2,4,3,False,False,3 or more,1,False,2,2 or more,False,False,False,False,False,True,True,False,False,False,False,False,0,0,0,2,30.625,0.125,0.0,0.0,0.0,0.244897959,2.0,False,True,True,False,False,0,0,1
M,WHITE,28-32,16,False,6.0,High,Less than HS diploma,0,Property,Less than 1 year,9,6 or more,1,5 or more,0,5 or more,False,False,3 or more,4 or more,False,3 or more,1,True,False,False,False,True,True,True,True,False,False,False,False,0,0,0,0,59.886809152,0.072562265,0.005917863,0.000381504,9.4e-06,0.259067358,1.892487047,False,True,True,False,False,1,1,0
M,BLACK,28-32,19,False,7.0,High,Less than HS diploma,0,Violent/Non-Sex,1-2 years,8,2,2,1,1,3,False,True,2,0,True,0,0,True,False,False,False,True,True,True,True,False,False,False,False,0,6,0,1,25.58823529,0.0,0.0,0.0,0.0,0.264367816,0.839655172,False,True,True,False,False,0,0,0
M,WHITE,38-42,1,False,9.0,Specialized,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,10 or more,6 or more,1,5 or more,1,5 or more,False,False,3 or more,4 or more,True,3 or more,0,True,False,False,False,False,True,True,True,False,False,False,False,0,10 or more,0,3 or more,8.9,0.0,0.0,0.0,0.0,0.921348315,1.0,False,True,True,False,False,0,0,0
M,BLACK,28-32,4,False,5.0,Standard,Less than HS diploma,3 or more,Property,1-2 years,4,6 or more,0,5 or more,1,5 or more,False,False,3 or more,4 or more,False,3 or more,2 or more,True,False,False,False,False,False,True,False,False,True,False,True,0,0,0,1,582.5,0.0,0.0,0.0,0.0,0.868669528,0.627038627,False,True,False,False,True,0,0,0
M,WHITE,43-47,10,False,6.0,Standard,High School Diploma,0,Property,1-2 years,10 or more,2,0,5 or more,0,3,False,False,3 or more,1,False,3 or more,0,False,False,False,True,False,True,True,False,False,False,False,False,0,0,0,0,66.8,0.0,0.0,0.0,0.0,1.0,4.0,False,True,True,False,False,0,0,0
M,WHITE,48 or older,17,False,9.0,Specialized,Less than HS diploma,0,Property,More than 3 years,10 or more,2,0,5 or more,2,3,False,False,3 or more,1,False,3 or more,0,True,False,False,False,False,True,False,True,False,True,False,False,4 or more,10 or more,0,3 or more,27.30769231,0.0,0.0,0.025641026,0.025641026,0.123943662,0.685915493,False,False,False,False,False,0,0,0
M,BLACK,28-32,19,False,6.0,Specialized,Less than HS diploma,0,Property,More than 3 years,2,2,0,3,0,3,False,False,1,2,False,3 or more,0,True,False,False,True,False,False,False,False,False,False,False,True,4 or more,0,0,2,273.5,0.0,0.0,0.0,0.0,0.975015235,0.222577697,False,False,False,False,False,0,0,0
M,BLACK,33-37,18,False,6.0,High,Less than HS diploma,1,Property,Greater than 2 to 3 years,8,6 or more,1,0,5 or more,5 or more,False,True,2,2,False,0,2 or more,True,False,True,False,False,True,False,False,False,False,False,False,0,0,0,1,157.6,0.0,0.0,0.0,0.0,0.852791878,0.927030457,False,True,True,False,False,0,0,1
M,WHITE,48 or older,6,False,7.0,Specialized,High School Diploma,0,Other,1-2 years,10 or more,6 or more,3 or more,4,1,5 or more,False,False,3 or more,4 or more,True,2,2 or more,True,False,False,False,False,False,False,True,False,False,False,False,4 or more,1,0,0,45.7,0.0,0.0,0.0,0.0,0.358862144,0.799234136,False,True,True,False,False,0,0,1
M,BLACK,48 or older,5,True,9.0,Specialized,High School Diploma,3 or more,Property,More than 3 years,10 or more,6 or more,2,5 or more,4,5 or more,False,False,3 or more,2,True,3 or more,1,True,False,False,False,False,True,False,False,False,True,False,False,4 or more,10 or more,0,2,67.625,0.125,0.0,0.0,0.0,0.092421442,0.675138632,False,True,True,False,False,0,0,0
M,WHITE,38-42,18,False,4.0,Specialized,At least some college,2,Violent/Non-Sex,More than 3 years,6,6 or more,3 or more,4,5 or more,3,False,False,1,4 or more,True,0,2 or more,False,False,False,False,False,True,False,True,False,True,False,False,0,0,0,1,295.5,0.0,0.0,0.0,0.0,0.086294416,0.618020305,False,True,True,False,False,0,0,0
M,BLACK,33-37,9,False,4.0,Standard,Less than HS diploma,2,Drug,Less than 1 year,5,5,0,2,3,2,False,True,2,0,False,2,2 or more,False,False,False,False,False,True,False,False,False,False,False,False,0,6,1,0,9.111111111,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,True,0,0,0
M,BLACK,48 or older,22,False,3.0,Specialized,Less than HS diploma,1,Violent/Sex,More than 3 years,10 or more,6 or more,3 or more,5 or more,0,2,True,True,3 or more,4 or more,True,2,0,True,False,False,False,False,False,False,False,True,True,False,False,0,6,3 or more,0,14.03571429,0.0,0.035714287,0.0,0.0,0.314249364,0.929389313,True,True,True,False,False,0,0,0
M,WHITE,28-32,20,True,9.0,Specialized,High School Diploma,0,Drug,Less than 1 year,5,2,0,3,2,1,False,False,1,2,False,2,1,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,1,226.0,0.0,0.0,0.0,0.0,0.871681416,2.0,False,True,True,False,False,0,0,0
M,WHITE,28-32,1,False,6.0,Standard,High School Diploma,0,Drug,1-2 years,5,1,0,0,5 or more,2,False,False,1,0,False,0,1,False,False,False,False,False,True,True,False,False,False,False,False,2,0,0,0,55.9,0.0,0.0,0.0,0.0,0.161001789,0.653398927,False,True,True,False,False,0,0,0
M,BLACK,28-32,3,False,10.0,Specialized,Less than HS diploma,1,Drug,More than 3 years,3,0,0,0,0,0,False,False,0,1,False,0,0,False,False,False,False,False,True,True,False,False,False,False,False,4 or more,2,0,3 or more,127.0588235,0.0,0.0,0.0,0.0,0.740740741,1.014583333,True,False,False,False,False,0,0,0
F,WHITE,43-47,22,False,5.0,High,Less than HS diploma,2,Drug,1-2 years,8,6 or more,0,4,5 or more,4,False,False,3 or more,3,False,2,1,True,False,False,False,True,True,False,False,False,False,False,False,0,6,0,1,25.5,0.0,0.0,0.0,0.0,0.963921569,0.859411765,False,False,False,False,False,0,0,0
M,BLACK,43-47,7,False,5.0,High,Less than HS diploma,3 or more,Drug,Greater than 2 to 3 years,10 or more,6 or more,3 or more,5 or more,5 or more,5 or more,False,True,3 or more,4 or more,True,2,2 or more,False,False,False,True,False,True,True,False,False,True,False,False,0,0,0,2,111.5,0.5,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,WHITE,28-32,5,False,6.0,Standard,High School Diploma,0,Violent/Non-Sex,1-2 years,7,4,1,2,1,5 or more,False,True,2,1,True,1,0,True,False,True,True,True,True,True,True,False,False,False,False,0,0,0,0,90.0,0.0,0.0,0.0,0.0,0.028888889,0.811666667,False,True,True,False,False,0,0,0
M,WHITE,28-32,25,True,6.0,Standard,High School Diploma,1,Drug,Less than 1 year,10 or more,6 or more,0,4,5 or more,5 or more,False,True,3 or more,4 or more,False,3 or more,2 or more,True,False,False,False,False,True,False,False,False,True,False,False,4 or more,0,0,1,131.8333333,0.166666672,0.0,0.166666672,0.166666672,0.307206068,0.923514539,False,True,True,False,False,0,0,0
M,WHITE,23-27,20,True,7.0,High,Less than HS diploma,3 or more,Property,Less than 1 year,6,6 or more,2,3,0,4,True,False,0,4 or more,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,4 or more,0,0,1,82.57142857,0.142857149,0.142857149,0.0,0.142857149,0.0,0.0,False,True,False,True,False,0,0,0
M,BLACK,33-37,1,False,9.0,Specialized,High School Diploma,3 or more,Property,1-2 years,10 or more,6 or more,2,5 or more,3,2,True,True,1,2,False,2,0,False,False,False,False,True,True,False,True,False,False,False,False,4 or more,0,0,0,15.77777778,0.0,0.055555556,0.0,0.0,1.0,3.0,False,False,False,False,False,0,0,0
F,BLACK,33-37,6,False,3.0,Standard,High School Diploma,1,Property,Less than 1 year,4,0,0,0,3,2,False,False,1,0,False,0,1,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,86.6,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0,0,1
M,WHITE,28-32,5,False,8.0,High,Less than HS diploma,1,Drug,Less than 1 year,5,2,1,0,2,3,True,False,2,0,True,0,1,False,False,False,False,False,True,False,False,False,True,False,True,4 or more,1,2,0,56.71428571,0.0,0.0,0.285714298,0.0,0.0,0.0,False,True,True,False,False,0,0,0
F,WHITE,33-37,14,False,6.0,High,High School Diploma,1,Drug,1-2 years,4,5,0,1,2,4,False,False,3 or more,3,False,1,2 or more,True,False,False,False,False,True,True,False,False,True,False,False,4 or more,9,2,0,130.8333333,0.0,0.0,0.333333343,0.0,0.0,0.0,False,True,False,True,False,0,0,0
M,BLACK,18-22,11,True,10.0,Standard,Less than HS diploma,1,Property,Greater than 2 to 3 years,3,1,0,1,0,2,False,False,0,0,False,0,0,False,False,False,False,True,True,False,True,False,False,False,False,0,4,2,1,44.9,0.200000003,0.0,0.0,0.0,0.759465479,0.813474388,False,True,True,False,False,0,0,0
M,BLACK,28-32,14,False,9.0,Specialized,At least some college,0,Property,Greater than 2 to 3 years,10 or more,4,0,5 or more,0,4,False,False,1,2,False,3 or more,0,True,False,False,False,False,False,False,False,False,True,False,True,4 or more,0,0,2,47.44444444,0.0,0.0,0.0,0.0,0.512880562,1.710772834,False,False,False,False,False,0,0,0
M,WHITE,33-37,12,False,4.0,Standard,High School Diploma,2,Drug,Less than 1 year,6,6 or more,0,3,1,5 or more,False,False,3 or more,3,False,1,1,True,False,False,False,False,True,False,False,False,False,False,False,4 or more,2,3 or more,0,29.52631579,0.052631579,0.0,0.052631579,0.052631579,0.0,0.0,False,True,False,True,False,0,0,0
M,BLACK,43-47,13,False,3.0,Standard,High School Diploma,1,Property,Greater than 2 to 3 years,10 or more,3,3 or more,5 or more,2,2,False,False,3 or more,1,True,3 or more,0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,2,186.4444444,0.0,0.0,0.0,0.0,0.564958284,0.217669845,False,False,False,False,False,0,0,0
M,WHITE,28-32,20,True,6.0,High,High School Diploma,3 or more,Other,Less than 1 year,7,2,0,4,1,3,False,False,2,2,False,3 or more,1,True,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,BLACK,43-47,6,True,10.0,Specialized,At least some college,2,Property,Greater than 2 to 3 years,8,2,3 or more,5 or more,0,0,False,True,1,1,True,2,0,False,False,False,False,False,True,True,True,False,True,False,False,0,0,0,0,71.5,0.0,0.25,0.0,0.0,0.534965035,0.638548951,False,True,True,False,False,0,0,0
M,WHITE,28-32,21,False,8.0,High,High School Diploma,0,Drug,1-2 years,9,6 or more,1,5 or more,2,4,False,True,2,4 or more,True,3 or more,2 or more,False,False,True,False,False,True,False,False,False,True,False,True,3,5,0,0,18.22222222,0.0,0.0,0.055555556,0.222222224,0.457317073,1.0,False,True,True,False,False,0,0,0
M,WHITE,28-32,20,False,10.0,Specialized,High School Diploma,1,Property,1-2 years,9,4,2,4,3,1,False,True,2,2,True,2,2 or more,False,False,False,False,False,True,True,False,False,True,False,True,4 or more,7,0,0,53.33333333,0.166666672,0.0,0.0,0.0,1.0,2.0,False,True,False,False,True,0,0,0
M,BLACK,28-32,25,False,7.0,Specialized,High School Diploma,3 or more,Violent/Non-Sex,More than 3 years,10 or more,6 or more,3 or more,0,1,5 or more,False,True,1,2,True,1,1,True,False,True,False,False,True,True,True,False,False,False,False,1,0,0,0,76.2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,0,0,0
M,WHITE,33-37,5,False,9.0,Standard,High School Diploma,1,Property,More than 3 years,5,3,0,5 or more,1,3,False,False,1,3,False,3 or more,1,True,False,False,False,True,True,True,True,True,False,False,True,1,0,0,0,3.0,0.0,0.125,0.125,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,BLACK,33-37,10,False,5.0,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,2,0,1,0,0,0,False,False,2,0,True,0,0,False,False,False,False,False,True,True,True,False,False,False,False,0,0,0,0,51.94117647,0.0,0.0,0.0,0.0,1.0,0.827293318,False,False,False,False,False,0,0,0
M,WHITE,43-47,9,False,7.0,High,Less than HS diploma,0,Property,More than 3 years,8,6 or more,3 or more,5 or more,1,3,True,False,1,2,True,0,0,False,False,False,False,False,False,False,False,False,False,False,False,0,6,0,0,16.46666667,0.0,0.0,0.0,0.0,0.997975709,0.73937247,False,True,False,True,False,0,0,0
M,WHITE,38-42,17,False,6.0,Specialized,High School Diploma,3 or more,Property,1-2 years,10 or more,6 or more,0,3,5 or more,5 or more,False,False,1,3,False,2,1,True,False,False,False,False,True,False,True,False,False,False,False,0,5,0,0,6.820512821,0.0,0.0,0.025641026,0.051282052,1.0,1.0,False,True,True,False,False,0,0,0
M,WHITE,28-32,7,False,5.0,Standard,High School Diploma,0,Property,Less than 1 year,8,6 or more,1,5 or more,3,0,False,False,3 or more,4 or more,True,3 or more,2 or more,False,False,False,False,False,True,False,False,False,False,True,False,4 or more,0,0,0,52.28571429,0.0,0.142857149,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,WHITE,33-37,3,False,9.0,Specialized,High School Diploma,0,Violent/Sex,More than 3 years,3,0,1,0,0,1,False,False,1,0,True,0,0,False,False,False,False,False,True,False,True,False,False,False,False,0,10 or more,3 or more,1,20.18181818,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,0,0,0
M,WHITE,48 or older,4,False,7.0,Standard,Less than HS diploma,0,Property,More than 3 years,10 or more,4,3 or more,5 or more,1,2,False,False,3 or more,2,True,3 or more,0,True,False,False,True,False,True,False,False,False,False,False,False,0,0,0,0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,True,0,0,0
F,WHITE,38-42,3,False,8.0,Standard,At least some college,0,Other,Greater than 2 to 3 years,10 or more,6 or more,1,5 or more,5 or more,5 or more,False,False,1,4 or more,False,1,2 or more,True,False,False,False,False,True,True,False,False,False,False,False,4 or more,0,0,1,59.33333333,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,BLACK,33-37,25,False,3.0,Standard,Less than HS diploma,0,Property,Less than 1 year,10 or more,5,2,2,2,5 or more,False,True,2,4 or more,True,2,0,True,False,False,False,True,True,False,True,False,False,False,False,0,6,0,0,29.15384615,0.0,0.0,0.0,0.0,0.799472296,1.927440633,True,True,True,False,False,0,0,0
M,BLACK,28-32,8,False,9.0,Specialized,High School Diploma,1,Other,Greater than 2 to 3 years,6,1,0,1,4,3,False,True,3 or more,0,False,0,2 or more,True,False,True,True,False,False,False,False,False,False,False,False,0,1,0,2,209.5,0.0,0.0,0.0,0.0,1.0,1.307577566,False,False,False,False,False,0,0,0
M,WHITE,28-32,17,False,6.0,Specialized,High School Diploma,0,Violent/Non-Sex,More than 3 years,8,6 or more,1,3,1,2,False,True,2,4 or more,True,2,1,False,False,True,False,False,False,True,True,False,False,False,False,0,6,0,0,23.04761905,0.0,0.0,0.0,0.0,1.0,1.509297521,False,True,True,False,False,0,0,0
M,BLACK,23-27,7,False,6.0,Specialized,Less than HS diploma,3 or more,Violent/Sex,Less than 1 year,10 or more,6 or more,1,0,5 or more,5 or more,True,False,2,4 or more,True,0,2 or more,False,True,False,False,False,True,False,True,True,True,False,False,3,0,0,3 or more,177.5,0.0,0.0,0.0,0.0,0.518309859,1.0,True,True,True,False,False,0,0,0
M,BLACK,43-47,7,True,7.0,Specialized,Less than HS diploma,3 or more,Property,More than 3 years,10 or more,6 or more,1,5 or more,5 or more,5 or more,False,False,3 or more,4 or more,False,3 or more,2 or more,True,False,False,False,False,True,False,False,False,False,False,False,0,0,0,2,342.5,0.0,0.0,0.0,0.0,0.372992701,0.533211679,False,True,False,False,True,0,0,0
M,BLACK,48 or older,1,False,6.0,Standard,Less than HS diploma,1,Violent/Non-Sex,More than 3 years,10 or more,1,1,5 or more,0,4,True,False,3 or more,1,False,3 or more,0,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,1,130.4,0.0,0.0,0.0,0.0,0.699386503,1.120398773,False,True,True,False,False,0,0,0
M,BLACK,28-32,3,False,7.0,High,High School Diploma,0,Property,Greater than 2 to 3 years,8,2,0,5 or more,0,2,False,False,3 or more,3,False,3 or more,0,True,False,False,False,False,True,True,False,False,False,False,False,0,7,0,0,53.75,0.0,0.0,0.0,0.0,1.0,2.548255814,False,True,False,True,False,0,0,0
M,BLACK,28-32,21,False,6.0,High,Less than HS diploma,0,Drug,More than 3 years,8,6 or more,3 or more,1,5 or more,1,False,False,3 or more,4 or more,True,1,2 or more,False,False,False,False,False,False,False,False,False,True,False,True,0,10 or more,0,3 or more,103.8333333,0.333333343,0.333333343,0.0,0.0,0.065810594,0.586276083,False,True,False,True,False,0,0,0
M,BLACK,28-32,25,False,9.0,Specialized,Less than HS diploma,0,Drug,1-2 years,10 or more,6 or more,2,2,5 or more,5 or more,True,False,2,4 or more,True,0,2 or more,False,True,False,False,False,True,True,False,False,True,False,False,0,5,2,2,41.79411765,0.0,0.0,0.0,0.0,0.260380014,0.257037298,False,True,False,True,False,0,0,0
F,WHITE,48 or older,11,False,5.0,Standard,High School Diploma,3 or more,Drug,1-2 years,6,2,1,0,4,1,False,False,0,1,False,0,1,True,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,23.80952381,0.0,0.0,0.0,0.0,1.0,2.1915,False,False,False,False,False,0,0,0
M,BLACK,28-32,18,False,8.0,Specialized,Less than HS diploma,1,Property,More than 3 years,7,6 or more,1,4,4,3,False,False,1,4 or more,False,1,2 or more,False,False,False,False,False,True,True,False,False,False,False,True,1,2,0,1,66.4,0.0,0.200000003,0.0,0.0,0.978915663,1.0,True,True,True,False,False,0,0,0
